CSFSP80053Index,CSFSubcategoryID,SP80053ControlDetailID
282,DE.AE-4,SI-4 (9)
283,DE.AE-4,SI-4a.1
284,DE.AE-4,SI-4a.2
285,DE.AE-4,SI-4b
286,DE.AE-4,SI-4c.1
287,DE.AE-4,SI-4c.2
288,DE.AE-4,SI-4d
289,DE.AE-4,SI-4e
290,DE.AE-4,SI-4f
291,DE.AE-4,SI-4g
293,DE.AE-5,IR-4 (1)
294,DE.AE-5,IR-4 (10)
295,DE.AE-5,IR-4 (2)
296,DE.AE-5,IR-4 (3)
297,DE.AE-5,IR-4 (4)
298,DE.AE-5,IR-4 (5)
299,DE.AE-5,IR-4 (6)
300,DE.AE-5,IR-4 (7)
301,DE.AE-5,IR-4 (8)
302,DE.AE-5,IR-4 (9)
303,DE.AE-5,IR-4a
304,DE.AE-5,IR-4b
305,DE.AE-5,IR-4c
306,DE.AE-5,IR-5
307,DE.AE-5,IR-5 (1)
309,DE.AE-5,IR-8a.1
310,DE.AE-5,IR-8a.2
311,DE.AE-5,IR-8a.3
312,DE.AE-5,IR-8a.4
313,DE.AE-5,IR-8a.5
314,DE.AE-5,IR-8a.6
315,DE.AE-5,IR-8a.7
316,DE.AE-5,IR-8a.8
317,DE.AE-5,IR-8b
318,DE.AE-5,IR-8c
319,DE.AE-5,IR-8d
320,DE.AE-5,IR-8e
321,DE.AE-5,IR-8f
323,DE.CM-1,AC-2 (1)
324,DE.CM-1,AC-2 (10)
325,DE.CM-1,AC-2 (11)
326,DE.CM-1,AC-2 (12)(a)
327,DE.CM-1,AC-2 (12)(b)
328,DE.CM-1,AC-2 (13)
329,DE.CM-1,AC-2 (2)
330,DE.CM-1,AC-2 (3)
331,DE.CM-1,AC-2 (4)
332,DE.CM-1,AC-2 (5)
333,DE.CM-1,AC-2 (6)
334,DE.CM-1,AC-2 (7)(a)
335,DE.CM-1,AC-2 (7)(b)
336,DE.CM-1,AC-2 (7)(c)
337,DE.CM-1,AC-2 (8)
338,DE.CM-1,AC-2 (9)
339,DE.CM-1,AC-2a.
340,DE.CM-1,AC-2b.
341,DE.CM-1,AC-2c.
342,DE.CM-1,AC-2d.
343,DE.CM-1,AC-2e.
344,DE.CM-1,AC-2f.
345,DE.CM-1,AC-2g.
346,DE.CM-1,AC-2h.1.
347,DE.CM-1,AC-2h.2.
348,DE.CM-1,AC-2h.3.
349,DE.CM-1,AC-2i.1.
350,DE.CM-1,AC-2i.2.
351,DE.CM-1,AC-2i.3.
352,DE.CM-1,AC-2j.
353,DE.CM-1,AC-2k.
